ID,stim,rt,response,Year
CBDH0001,22,1255,0,1
CBDH0001,22,735,1,1
CBDH0001,22,632,1,1
CBDH0001,33,1017,1,1
CBDH0001,33,569,1,1
CBDH0001,33,634,1,1
CBDH0001,33,699,1,1
CBDH0001,33,684,1,1
CBDH0001,22,1293,1,1
CBDH0001,22,837,1,1
CBDH0001,22,589,1,1
CBDH0001,33,814,1,1
CBDH0001,33,543,1,1
CBDH0001,11,448,1,1
CBDH0001,11,504,1,1
CBDH0001,22,1034,1,1
CBDH0001,22,906,1,1
CBDH0001,11,532,1,1
CBDH0001,11,540,1,1
CBDH0001,11,604,1,1
CBDH0001,22,781,1,1
CBDH0001,22,510,1,1
CBDH0001,22,590,0,1
CBDH0001,22,934,1,1
CBDH0001,11,671,1,1
CBDH0001,11,487,1,1
CBDH0001,11,495,1,1
CBDH0001,11,681,1,1
CBDH0001,11,529,1,1
CBDH0001,33,490,1,1
CBDH0001,33,499,1,1
CBDH0001,33,667,1,1
CBDH0002,22,637,0,1
CBDH0002,22,502,1,1
CBDH0002,22,838,1,1
CBDH0002,33,471,1,1
CBDH0002,33,584,1,1
CBDH0002,33,456,1,1
CBDH0002,33,648,0,1
CBDH0002,33,625,1,1
CBDH0002,33,481,1,1
CBDH0002,11,706,1,1
CBDH0002,11,507,1,1
CBDH0002,33,428,1,1
CBDH0002,33,540,1,1
CBDH0002,33,733,1,1
CBDH0002,11,533,1,1
CBDH0002,11,470,1,1
CBDH0002,11,422,1,1
CBDH0002,22,840,0,1
CBDH0002,11,914,1,1
CBDH0002,11,818,1,1
CBDH0002,11,595,1,1
CBDH0002,11,547,1,1
CBDH0002,11,627,1,1
CBDH0002,33,413,1,1
CBDH0002,33,269,0,1
CBDH0002,22,302,0,1
CBDH0002,22,303,0,1
CBDH0002,22,872,0,1
CBDH0002,22,1352,0,1
CBDH0002,22,616,1,1
CBDH0002,22,393,1,1
CBDH0003,22,945,1,1
CBDH0003,22,937,1,1
CBDH0003,11,483,1,1
CBDH0003,11,458,1,1
CBDH0003,22,988,1,1
CBDH0003,22,765,1,1
CBDH0003,22,677,1,1
CBDH0003,11,526,1,1
CBDH0003,11,495,1,1
CBDH0003,33,743,1,1
CBDH0003,33,487,1,1
CBDH0003,22,1290,1,1
CBDH0003,33,843,1,1
CBDH0003,33,660,1,1
CBDH0003,33,788,1,1
CBDH0003,33,788,1,1
CBDH0003,33,605,1,1
CBDH0003,22,1015,1,1
CBDH0003,22,495,1,1
CBDH0003,22,664,1,1
CBDH0003,11,1080,0,1
CBDH0003,11,633,1,1
CBDH0003,11,537,1,1
CBDH0003,11,553,1,1
CBDH0003,33,850,1,1
CBDH0003,33,642,1,1
CBDH0003,33,755,1,1
CBDH0003,11,508,1,1
CBDH0003,11,588,1,1
CBDH0003,11,484,1,1
CBDH0004,33,344,1,2
CBDH0004,33,313,1,2
CBDH0004,33,433,1,2
CBDH0004,33,393,1,2
CBDH0004,33,546,1,2
CBDH0004,11,428,1,2
CBDH0004,11,444,1,2
CBDH0004,11,565,1,2
CBDH0004,11,478,1,2
CBDH0004,11,406,1,2
CBDH0004,22,391,1,2
CBDH0004,22,384,1,2
CBDH0004,22,824,1,2
CBDH0004,22,465,1,2
CBDH0004,22,497,1,2
CBDH0004,11,451,1,2
CBDH0004,11,507,1,2
CBDH0004,11,484,1,2
CBDH0004,33,444,1,2
CBDH0004,33,453,1,2
CBDH0004,33,469,1,2
CBDH0004,11,494,1,2
CBDH0004,11,470,1,2
CBDH0004,33,312,1,2
CBDH0004,33,385,1,2
CBDH0004,22,730,1,2
CBDH0004,22,892,1,2
CBDH0004,22,596,1,2
CBDH0004,22,596,0,2
CBDH0004,22,552,1,1
CBDH0004,22,1089,1,1
CBDH0004,22,586,1,1
CBDH0004,22,427,1,1
CBDH0004,33,435,1,1
CBDH0004,33,347,1,1
CBDH0004,33,684,1,1
CBDH0004,11,421,1,1
CBDH0004,11,461,1,1
CBDH0004,22,807,1,1
CBDH0004,22,704,1,1
CBDH0004,22,592,0,1
CBDH0004,33,448,1,1
CBDH0004,33,441,1,1
CBDH0004,22,627,1,1
CBDH0004,22,523,1,1
CBDH0004,11,437,1,1
CBDH0004,11,413,1,1
CBDH0004,11,557,1,1
CBDH0004,11,501,1,1
CBDH0004,11,502,1,1
CBDH0004,33,543,1,1
CBDH0004,33,479,1,1
CBDH0004,33,528,1,1
CBDH0004,11,554,1,1
CBDH0004,11,482,1,1
CBDH0004,11,489,1,1
CBDH0004,33,595,1,1
CBDH0004,33,460,1,1
CBDH0005,11,629,1,2
CBDH0005,11,397,1,2
CBDH0005,11,396,1,2
CBDH0005,22,519,1,2
CBDH0005,22,527,1,2
CBDH0005,33,496,1,2
CBDH0005,33,425,1,2
CBDH0005,33,857,1,2
CBDH0005,33,490,1,2
CBDH0005,22,611,1,2
CBDH0005,22,732,1,2
CBDH0005,22,540,0,2
CBDH0005,22,644,1,2
CBDH0005,11,557,1,2
CBDH0005,11,438,1,2
CBDH0005,11,448,1,2
CBDH0005,11,455,1,2
CBDH0005,22,409,1,2
CBDH0005,22,706,1,2
CBDH0005,11,443,1,2
CBDH0005,11,587,1,2
CBDH0005,11,492,1,2
CBDH0005,33,557,1,2
CBDH0005,33,485,1,2
CBDH0005,33,526,1,2
CBDH0005,33,575,1,2
CBDH0005,33,670,1,2
CBDH0005,33,583,1,2
CBDH0005,22,592,1,2
CBDH0005,22,888,1,2
CBDH0005,22,561,1,2
CBDH0005,11,408,1,1
CBDH0005,11,488,1,1
CBDH0005,11,400,1,1
CBDH0005,22,713,1,1
CBDH0005,22,753,0,1
CBDH0005,22,873,1,1
CBDH0005,22,753,0,1
CBDH0005,33,355,1,1
CBDH0005,33,691,1,1
CBDH0005,33,429,1,1
CBDH0005,33,438,1,1
CBDH0005,22,774,1,1
CBDH0005,22,406,1,1
CBDH0005,22,431,1,1
CBDH0005,11,544,1,1
CBDH0005,11,433,1,1
CBDH0005,11,498,1,1
CBDH0005,11,443,1,1
CBDH0005,22,388,1,1
CBDH0005,22,700,1,1
CBDH0005,11,517,1,1
CBDH0005,11,517,1,1
CBDH0005,11,462,1,1
CBDH0005,33,383,1,1
CBDH0005,33,431,1,1
CBDH0005,33,455,1,1
CBDH0005,33,569,1,1
CBDH0005,33,473,1,1
CBDH0005,33,442,1,1
CBDH0005,22,891,0,1
CBDH0005,22,755,1,1
CBDH0005,22,708,1,1
CBDH0006,33,327,1,1
CBDH0006,33,407,1,1
CBDH0006,33,1136,0,1
CBDH0006,11,585,1,1
CBDH0006,11,401,1,1
CBDH0006,11,906,0,1
CBDH0006,22,242,0,1
CBDH0006,22,890,1,1
CBDH0006,22,578,1,1
CBDH0006,22,483,1,1
CBDH0006,22,1211,0,1
CBDH0006,22,556,1,1
CBDH0006,22,717,1,1
CBDH0006,22,1237,0,1
CBDH0006,33,358,1,1
CBDH0006,33,254,0,1
CBDH0006,33,574,1,1
CBDH0006,33,526,1,1
CBDH0006,11,480,1,1
CBDH0006,11,440,1,1
CBDH0006,11,520,1,1
CBDH0006,11,313,0,1
CBDH0006,33,1081,0,1
CBDH0006,33,818,0,1
CBDH0006,33,316,1,1
CBDH0006,33,433,1,1
CBDH0006,11,579,1,1
CBDH0006,11,1395,1,1
CBDH0006,11,364,1,1
CBDH0006,11,381,1,1
CBDH0006,11,205,0,1
CBDH0006,11,229,1,1
CBDH0006,22,617,1,1
CBDH0006,22,481,1,1
CBDH0006,33,657,1,1
CBDH0006,33,754,1,1
CBDH0006,33,451,1,1
CBDH0007,11,455,1,3
CBDH0007,11,655,1,3
CBDH0007,11,423,1,3
CBDH0007,22,624,1,3
CBDH0007,22,416,1,3
CBDH0007,22,937,0,3
CBDH0007,22,673,1,3
CBDH0007,11,617,1,3
CBDH0007,11,1338,1,3
CBDH0007,11,506,1,3
CBDH0007,33,452,1,3
CBDH0007,22,734,0,3
CBDH0007,22,446,1,3
CBDH0007,33,431,1,3
CBDH0007,33,472,1,3
CBDH0007,11,449,1,3
CBDH0007,11,401,1,3
CBDH0007,33,403,1,3
CBDH0007,33,443,1,3
CBDH0007,33,539,0,3
CBDH0007,33,644,1,3
CBDH0007,22,468,1,3
CBDH0007,22,613,1,3
CBDH0007,22,654,1,3
CBDH0007,22,758,1,3
CBDH0007,22,695,1,3
CBDH0007,33,472,1,3
CBDH0007,33,585,1,3
CBDH0007,33,449,1,3
CBDH0007,11,482,1,3
CBDH0007,11,578,1,3
CBDH0007,11,399,1,2
CBDH0007,11,423,1,2
CBDH0007,11,376,1,2
CBDH0007,22,409,1,2
CBDH0007,22,457,1,2
CBDH0007,22,650,1,2
CBDH0007,11,451,1,2
CBDH0007,11,619,1,2
CBDH0007,11,444,1,2
CBDH0007,33,565,0,2
CBDH0007,33,533,1,2
CBDH0007,33,549,1,2
CBDH0007,22,942,1,2
CBDH0007,22,974,1,2
CBDH0007,33,536,1,2
CBDH0007,33,657,1,2
CBDH0007,11,426,1,2
CBDH0007,11,506,1,2
CBDH0007,33,659,1,2
CBDH0007,33,1227,1,2
CBDH0007,33,684,0,2
CBDH0007,33,444,1,2
CBDH0007,22,758,1,2
CBDH0007,22,478,1,2
CBDH0007,22,382,0,2
CBDH0007,22,1175,0,2
CBDH0007,22,600,1,2
CBDH0007,22,968,1,2
CBDH0007,33,504,1,2
CBDH0007,33,569,1,2
CBDH0007,33,457,1,2
CBDH0007,11,403,1,2
CBDH0007,11,427,1,2
CBDH0007,11,426,1,1
CBDH0007,11,562,1,1
CBDH0007,11,418,1,1
CBDH0007,22,1076,1,1
CBDH0007,22,404,1,1
CBDH0007,22,956,0,1
CBDH0007,22,684,0,1
CBDH0007,11,493,1,1
CBDH0007,11,790,1,1
CBDH0007,11,470,1,1
CBDH0007,33,687,0,1
